HOMERUN,DATE,BATTER FULL,BATTER LAST,BATTER FIRST,BATTER TEAM,PITCHER FULL,PITCHER LAST,PITCHER FIRST,PITCHER TEAM,INNNING,DISTANCE,ANGLE,OUTS,BALLS,STRIKES,FIRST,SECOND,THIRD,TEMP,DAY/NIGHT,PHILS W/L,PHILLIES SCORE,VISITORS SCORE,RUNS SCORED,ZONE,PX,PZ,STANCE
1,03/31/2008,Lastings Milledge,Milledge,Lastings,Nationals,Ryan Madson,Madson,Ryan,Phillies,6,430,106.7,2,1,1,1,0,0,51,Day,Loss,2,4,2,5,0.126,2.782,Right
2,03/31/2008,Chase Utley,Utley,Chase,Phillies,Matt Chico,Chico,Matt,Nationals,6,365,64.3,0,2,2,0,0,0,51,Day,Loss,2,6,1,9,0.483,2.426,Left
3,03/31/2008,Jimmy Rollins,Rollins,Jimmy,Phillies,Ray King,King,Ray,Nationals,7,408,101.6,1,1,1,0,1,0,51,Day,Loss,4,6,2,5,0.198,2.353,Left
4,04/02/2008,Ryan Zimmerman,Zimmerman,Ryan,Nationals,Cole Hamels,Hamels,Cole,Phillies,6,348,63.4,0,1,2,0,0,0,49,Night,Loss,0,0,1,11,-0.961,2.679,Right
5,04/03/2008,Chris Coste,Coste,Chris,Phillies,Jason Bergmann,Bergmann,Jason,Nationals,3,354,119,0,0,0,0,0,0,49,Day,Win,0,5,1,5,0.009,2.56,Right
6,04/11/2008,Derrek Lee,Lee,Derrek,Cubs,Brett Myers,Myers,Brett,Phillies,1,397,115.6,2,2,2,0,0,0,69,Night,Win,0,0,1,13,-1.086,2.996,Right
7,04/11/2008,Aramis Ramirez,Ramirez,Aramis,Cubs,Brett Myers,Myers,Brett,Phillies,1,401,99.3,2,1,1,0,0,0,69,Night,Win,0,1,1,13,-0.873,2.814,Right
8,04/11/2008,Pat Burrell,Burrell,Pat,Phillies,Carlos Zambrano,Zambrano,Carlos,Cubs,4,398,117.7,1,0,0,1,0,0,69,Night,Win,0,2,2,7,-0.616,2.243,Right
9,04/11/2008,Alfonso Soriano,Soriano,Alfonso,Cubs,Brett Myers,Myers,Brett,Phillies,6,344,117.5,0,0,0,0,0,0,69,Night,Win,3,2,1,11,-0.875,2.919,Right
10,04/12/2008,Pedro Feliz,Feliz,Pedro,Phillies,Ted Lilly,Lilly,Ted,Cubs,2,410,99.6,0,1,0,1,0,0,68,Night,Win,0,0,2,4,-0.409,2.568,Right
11,04/12/2008,Ryan Howard,Howard,Ryan,Phillies,Ted Lilly,Lilly,Ted,Cubs,5,392,79.8,1,3,2,0,0,1,68,Night,Win,3,0,2,12,0.878,3.094,Left
12,04/13/2008,Jayson Werth,Werth,Jayson,Phillies,Jason Marquis,Marquis,Jason,Cubs,5,416,100.7,0,2,0,0,0,0,56,Day,Loss,1,3,1,7,-0.442,2.15,Right
13,04/13/2008,Eric Bruntlett,Bruntlett,Eric,Phillies,Michael Wuertz,Wuertz,Michael,Cubs,6,360,112.3,0,0,0,0,0,0,56,Day,Loss,2,4,1,4,-0.617,2.749,Right
14,04/13/2008,Mark DeRosa,DeRosa,Mark,Cubs,Jamie Moyer,Moyer,Jamie,Phillies,6,401,116.6,0,1,1,0,0,0,56,Day,Loss,2,3,1,13,-0.722,2.206,Right
15,04/15/2008,Chris Snelling,Snelling,Chris,Phillies,Jose Valverde,Valverde,Jose,Astros,9,364,67,0,0,0,0,0,0,58,Night,Win,0,3,1,4,-0.237,2.199,Left
16,04/15/2008,Pat Burrell,Burrell,Pat,Phillies,Jose Valverde,Valverde,Jose,Astros,9,380,74.7,1,0,1,1,0,0,58,Night,Win,1,3,2,6,0.509,2.512,Right
17,04/16/2008,Michael Bourn,Bourn,Michael,Astros,Kyle Kendrick,Kendrick,Kyle,Phillies,5,378,56.7,2,1,1,0,0,0,64,Night,Loss,1,1,1,6,0.522,2.577,Left
18,04/17/2008,Miguel Tejada,Tejada,Miguel,Astros,Brett Myers,Myers,Brett,Phillies,4,364,69.8,1,1,2,0,0,0,72,Day,Win,4,0,1,2,-0.038,3.332,Right
19,04/17/2008,Chase Utley,Utley,Chase,Phillies,Brandon Backe,Backe,Brandon,Astros,4,409,77,0,0,0,1,0,0,72,Day,Win,4,1,2,11,-0.981,2.661,Left
20,04/17/2008,Pat Burrell,Burrell,Pat,Phillies,Oscar Villarreal,Villarreal,Oscar,Astros,6,340,117.7,0,3,1,0,0,0,72,Day,Win,6,1,1,11,-0.516,3.617,Right
21,04/17/2008,Ryan Howard,Howard,Ryan,Phillies,Oscar Villarreal,Villarreal,Oscar,Astros,6,383,66.6,0,3,2,0,0,0,72,Day,Win,7,1,1,14,0.338,1.614,Left
22,04/17/2008,Chris Coste,Coste,Chris,Phillies,Jose Valverde,Valverde,Jose,Astros,8,416,95.7,2,3,2,0,1,0,72,Day,Win,8,1,2,8,-0.158,1.67,Right
23,04/17/2008,Carlos Lee,Lee,Carlos,Astros,Clay Condrey,Condrey,Clay,Phillies,9,391,74.1,0,2,1,0,0,0,72,Day,Win,10,1,1,8,0.033,2.014,Right
24,04/18/2008,Chase Utley,Utley,Chase,Phillies,Johan Santana,Santana,Johan,Mets,7,414,84.9,0,0,1,0,0,0,76,Night,Loss,0,2,1,4,-0.475,2.706,Left
25,04/18/2008,Greg Dobbs,Dobbs,Greg,Phillies,Aaron Heilman,Heilman,Aaron,Mets,8,380,76.4,0,0,1,1,1,0,76,Night,Loss,1,5,3,3,-0.502,2.654,Left
26,04/19/2008,Chase Utley,Utley,Chase,Phillies,Scott Schoeneweis,Schoeneweis,Scott,Mets,7,354,55.7,2,0,0,0,0,0,83,Day,Loss,0,4,1,4,-0.378,2.469,Left
27,04/19/2008,Jose Reyes,Reyes,Jose,Mets,Ryan Madson,Madson,Ryan,Phillies,7,424,81.2,2,3,2,0,1,0,83,Day,Loss,0,2,2,3,0.407,2.693,Left
28,04/20/2008,Chase Utley,Utley,Chase,Phillies,Mike Pelfrey,Pelfrey,Mike,Mets,1,410,79.1,2,2,0,0,0,0,63,Day,Win,0,0,1,7,-0.468,2.548,Left
29,04/20/2008,Chase Utley,Utley,Chase,Phillies,Mike Pelfrey,Pelfrey,Mike,Mets,5,393,56.8,0,3,1,1,1,0,63,Day,Win,1,0,3,8,-0.08,2.236,Left
30,04/20/2008,Pedro Feliz,Feliz,Pedro,Phillies,Pedro Feliciano,Feliciano,Pedro,Mets,7,379,74.1,0,2,0,0,0,0,63,Day,Win,4,4,1,6,0.508,3.095,Right
31,04/29/2008,Scott Hairston,Hairston,Scott,Padres,Cole Hamels,Hamels,Cole,Phillies,5,378,101.9,2,0,1,0,0,0,58,Night,Win,2,0,1,6,0.433,2.405,Right
32,04/29/2008,Scott Hairston,Hairston,Scott,Padres,Ryan Madson,Madson,Ryan,Phillies,9,349,115.4,2,2,1,1,0,0,58,Night,Win,7,2,2,8,-0.077,1.98,Right
33,04/30/2008,Adrian Gonzalez,Gonzalez,Adrian,Padres,Jamie Moyer,Moyer,Jamie,Phillies,1,389,68.7,1,2,0,1,0,0,56,Night,Loss,0,0,2,8,-0.044,2.468,Left
34,04/30/2008,Chase Utley,Utley,Chase,Phillies,Chris Young,Young,Chris,Padres,1,410,67.8,1,1,0,1,0,0,56,Night,Loss,0,2,2,4,-0.56,2.791,Left
35,04/30/2008,Kevin Kouzmanoff,Kouzmanoff,Kevin,Padres,Jamie Moyer,Moyer,Jamie,Phillies,3,363,112.7,0,2,2,0,0,0,56,Night,Loss,2,2,1,13,-0.856,2.481,Right
36,05/01/2008,Adrian Gonzalez,Gonzalez,Adrian,Padres,Adam Eaton,Eaton,Adam,Phillies,1,372,59.1,1,0,0,1,0,0,56,Night,Win,0,0,2,12,0.721,3.69,Left
37,05/01/2008,Ryan Howard,Howard,Ryan,Phillies,Joe Thatcher,Thatcher,Joe,Padres,8,383,72.4,0,2,0,0,0,0,56,Night,Win,2,2,1,13,-0.856,2.442,Left
38,05/02/2008,Chase Utley,Utley,Chase,Phillies,Pat Misch,Misch,Pat,Giants,1,370,55.9,1,3,2,0,1,0,72,Night,Win,0,0,2,8,-0.215,2.027,Left
39,05/02/2008,Pedro Feliz,Feliz,Pedro,Phillies,Pat Misch,Misch,Pat,Giants,4,359,115.4,0,0,0,1,0,0,72,Night,Win,2,1,2,6,0.406,2.868,Right
40,05/02/2008,Pat Burrell,Burrell,Pat,Phillies,Brian Wilson,Wilson,Brian,Giants,10,375,107.1,2,2,2,1,0,0,72,Night,Win,4,5,2,5,-0.043,2.666,Right
41,05/02/2008,Aaron Rowand,Rowand,Aaron,Giants,J.C. Romero,Romero,J.C.,Phillies,10,411,92.3,0,0,0,0,0,0,72,Night,Win,4,4,1,3,0.262,3.369,Right
42,05/03/2008,Chase Utley,Utley,Chase,Phillies,Matt Cain,Cain,Matt,Giants,4,407,94.9,1,2,1,0,0,0,58,Night,Loss,0,1,1,7,-0.698,2.044,Left
43,05/03/2008,Geoff Jenkins,Jenkins,Geoff,Phillies,Matt Cain,Cain,Matt,Giants,5,346,51.6,0,0,0,0,0,0,58,Night,Loss,1,2,1,5,0.18,2.282,Left
44,05/03/2008,Fred Lewis,Lewis,Fred,Giants,Brett Myers,Myers,Brett,Phillies,5,365,58.6,1,3,2,0,0,0,58,Night,Loss,1,1,1,5,-0.021,2.394,Left
45,05/04/2008,Rich Aurilia,Aurilia,Rich,Giants,Cole Hamels,Hamels,Cole,Phillies,6,367,105.9,2,0,0,1,0,0,68,Day,Win,4,2,2,2,-0.124,3.027,Right
46,05/04/2008,Carlos Ruiz,Ruiz,Carlos,Phillies,Vinnie Chulk,Chulk,Vinnie,Giants,8,363,107.6,1,3,2,0,0,0,68,Day,Win,4,5,1,5,-0.225,2.555,Right
47,05/14/2008,Yunel Escobar,Escobar,Yunel,Braves,Brett Myers,Myers,Brett,Phillies,1,371,106.4,0,0,1,0,0,0,69,Night,Loss,0,0,1,13,-0.882,2.373,Right
48,05/14/2008,Chipper Jones,Jones,Chipper,Braves,Brett Myers,Myers,Brett,Phillies,1,409,102.7,1,0,0,0,0,0,69,Night,Loss,0,1,1,8,-0.228,2.4,Left
49,05/14/2008,Kelly Johnson,Johnson,Kelly,Braves,Brett Myers,Myers,Brett,Phillies,2,409,95.6,1,0,0,0,0,0,69,Night,Loss,0,2,1,7,-0.698,2.139,Left
50,05/14/2008,Chase Utley,Utley,Chase,Phillies,Tom Glavine,Glavine,Tom,Braves,6,433,77.8,1,1,2,0,0,1,69,Night,Loss,2,8,2,9,0.32,2.144,Left
51,05/14/2008,Ryan Howard,Howard,Ryan,Phillies,Royce Ring,Ring,Royce,Braves,8,402,103.6,2,2,1,0,0,0,69,Night,Loss,4,8,1,4,-0.341,2.715,Left
52,05/15/2008,Pedro Feliz,Feliz,Pedro,Phillies,Chuck James,James,Chuck,Braves,2,368,112.7,0,0,0,0,0,0,75,Night,Win,0,0,1,1,-0.245,3.236,Right
53,05/15/2008,Ryan Howard,Howard,Ryan,Phillies,Chuck James,James,Chuck,Braves,3,437,91.5,1,2,2,0,0,0,75,Night,Win,1,0,1,11,-0.968,2.994,Left
54,05/15/2008,Shane Victorino,Victorino,Shane,Phillies,Chuck James,James,Chuck,Braves,4,373,105.7,1,0,0,1,0,0,75,Night,Win,3,0,2,6,0.337,2.601,Right
55,05/16/2008,Jayson Werth,Werth,Jayson,Phillies,David Purcey,Purcey,David,Blue Jays,2,382,70.7,0,0,1,1,1,0,55,Night,Win,0,0,3,8,-0.166,2.356,Right
56,05/16/2008,Jayson Werth,Werth,Jayson,Phillies,David Purcey,Purcey,David,Blue Jays,3,389,75.1,1,3,1,1,1,1,55,Night,Win,4,0,4,6,0.367,2.666,Right
